Nameplate,Technology,Latitude,Longitude,State,Plant_ID,Year
3.6,Hydroelectric,38.147093,-120.446396,CA,261,2018
10.2,Hydroelectric,39.2364,-121.27174099999999,CA,262,2018
1.6,Hydroelectric,38.032103,-120.32653700000002,CA,264,2018
34.6,Hydroelectric,40.990840000000006,-121.49824299999999,CA,265,2018
26.7,Hydroelectric,40.997448,-121.748139,CA,266,2018
51.7,Hydroelectric,40.986360999999995,-121.84943999999999,CA,267,2018
38.2,Hydroelectric,40.986197,-121.977594,CA,268,2018
39.6,Hydroelectric,40.922568,-121.992906,CA,269,2018
57.6,Hydroelectric,40.847462,-121.990798,CA,270,2018
71.4,Hydroelectric,39.722892,-121.46981399999999,CA,272,2018
4.4,Hydroelectric,39.361785999999995,-123.12793400000001,CA,274,2018
63.0,Hydroelectric,39.90521,-121.345226,CA,275,2018
2.8,Hydroelectric,37.203233000000004,-119.49750800000001,CA,276,2018
4.0,Hydroelectric,37.253718,-119.519352,CA,277,2018
12.3,Hydroelectric,38.497914,-120.21811000000001,CA,279,2018
6.7,Hydroelectric,40.395396000000005,-121.879186,CA,280,2018
7.0,Hydroelectric,39.324613,-120.644807,CA,281,2018
3.7,Hydroelectric,39.324591999999996,-120.645375,CA,282,2018
6.6,Hydroelectric,39.337679,-120.63546699999999,CA,283,2018
6.0,Hydroelectric,38.18653,-120.11168,CA,284,2018
81.9,Hydroelectric,38.139047999999995,-120.370325,CA,285,2018
110.0,Other,38.777,-122.745,CA,286,2018
25.5,Hydroelectric,38.449290999999995,-120.492645,CA,287,2018
4.2,Hydroelectric,36.163076000000004,-118.707104,CA,289,2018
8.5,Hydroelectric,40.459111,-121.86708,CA,290,2018
13.6,Hydroelectric,38.420898,-120.549572,CA,291,2018
13.6,Hydroelectric,38.889862,-121.098525,CA,292,2018
3.2,Hydroelectric,37.15105,-119.504724,CA,293,2018
10.0,Hydroelectric,41.978914,-122.33531699999999,CA,294,2018
13.5,Hydroelectric,41.975716,-122.358127,CA,295,2018
0.5,Hydroelectric,41.985605,-122.360455,CA,296,2018
18.0,Hydroelectric,41.932981,-122.43678,CA,297,2018
893.0,Coal,31.4219,-96.2525,TX,298,2018
30.7,Other,38.4889,-112.8533,UT,299,2018
9.3,Hydroelectric,56.986284,-135.12275,AK,313,2018
2.0,Hydroelectric,32.673097,-115.392026,CA,314,2018
156.0,Natural Gas,33.7688,-118.1009,CA,315,2018
8.5,Hydroelectric,34.0969,-118.4795,CA,316,2018
19.8,Hydroelectric,37.2042,-119.2396,CA,317,2018
15.8,Hydroelectric,37.2,-119.3069,CA,318,2018
34.0,Hydroelectric,37.148517,-119.386623,CA,319,2018
50.0,Hydroelectric,37.139,-119.4898,CA,320,2018
30.0,Hydroelectric,37.2096,-119.3289,CA,321,2018
55.0,Hydroelectric,37.200062,-119.30681000000001,CA,322,2018
2.5,Hydroelectric,37.273581,-118.57333899999999,CA,323,2018
2.8,Hydroelectric,37.301961999999996,-118.531957,CA,324,2018
1.0,Hydroelectric,37.323035,-118.50171399999999,CA,325,2018
2.0,Hydroelectric,37.3344,-118.4797,CA,326,2018
1.6,Hydroelectric,37.3499,-118.4628,CA,327,2018
3.0,Hydroelectric,35.588069,-118.524804,CA,328,2018
1.5,Hydroelectric,34.155162,-117.39711899999999,CA,332,2018
218.0,Natural Gas,33.6439,-117.9792,CA,335,2018
1.8,Hydroelectric,36.461326,-118.87988,CA,336,2018
2.3,Hydroelectric,36.465066,-118.862023,CA,337,2018
2.4,Hydroelectric,36.486059000000004,-118.835645,CA,338,2018
20.5,Hydroelectric,35.776185,-118.436233,CA,339,2018
6.6,Hydroelectric,35.460303,-118.77958999999998,CA,340,2018
63.0,Natural Gas,33.7641,-118.2248,CA,341,2018
1.5,Hydroelectric,38.042729,-119.17201499999999,CA,342,2018
95.0,Hydroelectric,37.220302000000004,-119.33798300000001,CA,344,2018
806.0,Natural Gas,34.1292,-119.1689,CA,350,2018
11.3,Hydroelectric,37.944237,-119.2161,CA,353,2018
10.8,Hydroelectric,37.257045,-119.15893600000001,CA,354,2018
163.2,Natural Gas,33.8504,-118.395,CA,356,2018
