Plant_ID,Nameplate,Technology,Latitude,Longitude,State,Year
1733,817.2,Coal,41.8906,-83.3464,MI,2001
1740,292.5,Coal,42.2739,-83.1119,MI,2001
1743,168.7,Coal,42.7642,-82.4719,MI,2001
1745,120.0,Coal,42.1217,-83.1808,MI,2001
1769,25.0,Coal,46.5789,-87.395,MI,2001
1771,11.5,Coal,45.771667,-87.06392199999999,MI,2001
1825,10.0,Coal,43.0706,-86.235,MI,2001
1830,11.5,Coal,42.7956,-86.1133,MI,2001
1831,44.0,Coal,42.71839,-84.55808,MI,2001
1832,154.7,Coal,42.692221999999994,-84.65722199999999,MI,2001
1843,12.5,Coal,46.530598,-87.392206,MI,2001
1859,2.5,Coal,44.7664551,-85.62546999999999,MI,2001
1866,11.5,Coal,42.2081,-83.1453,MI,2001
1888,81.6,Coal,43.6728,-94.7075,MN,2001
1891,58.0,Coal,47.5306,-92.1619,MN,2001
1893,75.0,Coal,47.2611,-93.6528,MN,2001
1904,81.0,Coal,44.8108,-93.2501,MN,2001
1912,113.6,Coal,44.9314,-93.1117,MN,2001
1915,598.4,Coal,45.03,-92.7786,MN,2001
1918,46.0,Coal,44.8099575,-95.5455752,MN,2001
1927,165.0,Coal,45.0203,-93.2753,MN,2001
1943,7.5,Coal,46.290641,-96.043252,MN,2001
1961,31.9,Coal,43.7014,-92.9626,MN,2001
1979,10.0,Coal,47.4294,-92.935,MN,2001
2008,8.0,Coal,44.02818,-92.46037700000001,MN,2001
2012,4.0,Coal,44.2447,-94.9758,MN,2001
2018,4.0,Coal,47.522428000000005,-92.540951,MN,2001
2022,4.0,Coal,45.121705,-95.053236,MN,2001
2049,250.0,Coal,30.4392,-89.0286,MS,2001
2076,212.8,Coal,37.361315000000005,-94.58926,MO,2001
2079,594.3,Coal,39.1306,-94.4778,MO,2001
2080,188.0,Coal,38.3114,-93.9348,MO,2001
2094,55.0,Coal,39.178319,-94.184445,MO,2001
2098,90.0,Coal,39.7246,-94.8773,MO,2001
2103,573.7,Coal,38.562244,-90.837686,MO,2001
2104,137.5,Coal,38.4017,-90.3358,MO,2001
2107,549.7,Coal,38.915479,-90.290247,MO,2001
2122,2.5,Coal,39.783388,-93.564112,MO,2001
2123,16.5,Coal,38.964646,-92.31676800000001,MO,2001
2132,25.0,Coal,39.0919,-94.3261,MO,2001
2144,6.0,Coal,39.1228,-93.2064,MO,2001
2161,22.0,Coal,37.108610999999996,-93.261944,MO,2001
2167,600.0,Coal,36.5147,-89.5617,MO,2001
2168,180.0,Coal,39.5522,-92.6381,MO,2001
2169,15.0,Coal,38.6839,-91.7558,MO,2001
2171,23.0,Coal,39.231534,-94.307979,MO,2001
2187,163.0,Coal,45.77562,-108.480999,MT,2001
2240,16.5,Coal,41.4281,-96.4623,NE,2001
2277,108.8,Coal,40.5589,-96.7847,NE,2001
2291,73.5,Coal,41.32909,-95.94466,NE,2001
2324,114.0,Coal,36.657346999999994,-114.63326299999999,NV,2001
2341,818.1,Coal,35.1458,-114.5917,NV,2001
2364,113.6,Coal,43.1411,-71.4692,NH,2001
2367,50.0,Coal,43.0978,-70.7842,NH,2001
2378,136.0,Coal,39.2908,-74.6364,NJ,2001
2384,73.5,Coal,39.6831,-75.5083,NJ,2001
2403,659.7,Coal,40.7478,-74.0722,NJ,2001
2408,326.4,Coal,40.1792,-74.7339,NJ,2001
2434,25.0,Coal,39.4889,-75.0347,NJ,2001
2442,190.0,Coal,36.69,-108.4814,NM,2001
2451,369.0,Coal,36.8006,-108.4386,NM,2001
2468,1.5,Coal,36.892457,-104.44135899999999,NM,2001
2480,147.1,Coal,41.571247,-73.974981,NY,2001
2526,43.7,Coal,42.1117,-75.9747,NY,2001
2527,40.0,Coal,42.6789,-76.9483,NY,2001
2529,30.0,Coal,42.1225434,-76.9825788,NY,2001
2531,30.0,Coal,42.2934906,-75.4794624,NY,2001
2535,153.0,Coal,42.6028,-76.6336,NY,2001
2549,80.0,Coal,42.97,-78.93,NY,2001
2554,80.0,Coal,42.491467,-79.346631,NY,2001
2629,179.5,Coal,41.255635,-73.982162,NY,2001
2642,46.0,Coal,43.268263,-77.63148199999999,NY,2001
2682,28.7,Coal,42.0933,-79.2478,NY,2001
2706,206.6,Coal,35.4731,-82.5417,NC,2001
2708,140.6,Coal,35.595,-79.0495,NC,2001
2709,75.0,Coal,35.379866,-78.087795,NC,2001
2712,410.8,Coal,36.4833,-79.0731,NC,2001
2713,112.5,Coal,34.283056,-77.98527800000001,NC,2001
2716,46.0,Coal,34.587538,-78.97551999999999,NC,2001
2718,165.0,Coal,35.1897,-81.0122,NC,2001
2720,80.0,Coal,35.7133,-80.3767,NC,2001
2721,40.0,Coal,35.22,-81.7594,NC,2001
2723,70.0,Coal,36.4862,-79.7208,NC,2001
2727,350.0,Coal,35.5975,-80.9658,NC,2001
2732,100.0,Coal,35.36,-80.9742,NC,2001
2790,40.0,Coal,46.8669,-100.8836,ND,2001
2817,216.0,Coal,47.371389,-101.83444399999999,ND,2001
2823,257.0,Coal,47.065853999999995,-101.213093,ND,2001
2824,190.2,Coal,47.286643,-101.331908,ND,2001
2828,615.2,Coal,40.2522,-80.6486,OH,2001
2830,115.0,Coal,38.9917,-84.2981,OH,2001
2832,100.0,Coal,39.1128,-84.8036,OH,2001
2835,256.0,Coal,41.9086,-80.7697,OH,2001
2836,86.0,Coal,41.504453000000005,-82.05461899999999,OH,2001
2837,123.0,Coal,41.6711,-81.4425,OH,2001
2838,256.0,Coal,41.5356,-81.6419,OH,2001
2840,148.0,Coal,40.1842,-81.8811,OH,2001
2843,106.2,Coal,39.7933,-83.0097,OH,2001
2848,69.0,Coal,39.6088,-84.2921,OH,2001
2850,610.2,Coal,38.6361,-83.6939,OH,2001
2861,125.0,Coal,41.166928000000006,-80.74769,OH,2001
2864,103.4,Coal,39.91,-80.76083299999999,OH,2001
2866,190.4,Coal,40.5317,-80.6319,OH,2001
2867,35.0,Coal,40.465315000000004,-80.600325,OH,2001
2872,219.6,Coal,39.5908,-81.6797,OH,2001
2876,217.2,Coal,38.9144,-82.1289,OH,2001
2877,72.0,Coal,41.653633899999996,-83.5156623,OH,2001
2878,140.6,Coal,41.6917,-83.4378,OH,2001
2908,25.0,Coal,41.4981736,-82.0763918,OH,2001
2914,4.0,Coal,40.520066,-81.46815,OH,2001
2917,25.0,Coal,39.4098,-84.5543,OH,2001
2935,25.0,Coal,40.850964000000005,-81.765764,OH,2001
2936,7.5,Coal,41.7265,-81.25399999999999,OH,2001
2937,0.8,Coal,40.133848,-84.237258,OH,2001
2942,6.0,Coal,40.5458,-84.3889,OH,2001
2943,12.5,Coal,40.88,-82.6567,OH,2001
2952,572.0,Coal,35.76135,-95.28732,OK,2001
2963,473.0,Coal,36.4317,-95.7008,OK,2001
3098,100.0,Coal,40.251829,-79.918022,PA,2001
3113,172.0,Coal,40.910205,-75.079398,PA,2001
3115,75.0,Coal,40.3056,-75.9081,PA,2001
3118,936.0,Coal,40.3842,-79.0611,PA,2001
3122,660.0,Coal,40.512825,-79.196107,PA,2001
3130,62.0,Coal,40.40625,-79.03366,PA,2001
3131,125.0,Coal,41.06755,-78.366228,PA,2001
3132,42.0,Coal,41.835947,-79.188668,PA,2001
3136,936.0,Coal,40.6604,-79.3411,PA,2001
3138,37.5,Coal,40.937939,-80.369007,PA,2001
3140,363.3,Coal,40.096111,-76.6962,PA,2001
3148,156.2,Coal,40.797762,-75.105416,PA,2001
3149,805.5,Coal,41.0714,-76.6672,PA,2001
3152,90.0,Coal,40.8361,-76.825,PA,2001
3159,187.5,Coal,39.9604651,-75.312283,PA,2001
3161,353.6,Coal,39.858000000000004,-75.32300000000001,PA,2001
3176,49.9,Coal,41.217101,-76.09550759999999,PA,2001
