Nameplate,Technology,Latitude,Longitude,State,Plant_ID
16,Natural Gas,61.1861,-151.0356,AK,96
59.1,Natural Gas,61.1861,-151.0356,AK,96
68.3,Natural Gas,61.1861,-151.0356,AK,96
76.5,Natural Gas,61.1861,-151.0356,AK,96
76.5,Natural Gas,61.1861,-151.0356,AK,96
88.9,Natural Gas,47.079722,-122.365,WA,99
88.9,Natural Gas,47.079722,-122.365,WA,99
1.4,Hydroelectric,33.466477,-111.781064,AZ,100
199.8,Hydroelectric,37.147926,-119.2567,CA,104
348.7,Coal,37.9308,-100.9725,KS,108
1.1,Other,59.042914,-158.468597,AK,109
1,Other,59.042914,-158.468597,AK,109
1,Other,59.042914,-158.468597,AK,109
1,Other,59.042914,-158.468597,AK,109
1,Other,59.042914,-158.468597,AK,109
1,Other,59.042914,-158.468597,AK,109
0.5,Other,59.042914,-158.468597,AK,109
113.6,Coal,34.9394,-110.3033,AZ,113
312.3,Coal,34.9394,-110.3033,AZ,113
414,Coal,34.9394,-110.3033,AZ,113
26.1,Other,31.364122,-109.5538,AZ,114
113.6,Natural Gas,33.4225,-111.9122,AZ,116
113.6,Natural Gas,33.4225,-111.9122,AZ,116
53.1,Natural Gas,33.4225,-111.9122,AZ,116
53.1,Natural Gas,33.4225,-111.9122,AZ,116
132,Natural Gas,33.4417,-112.1583,AZ,117
132,Natural Gas,33.4417,-112.1583,AZ,117
132,Natural Gas,33.4417,-112.1583,AZ,117
91,Natural Gas,33.4417,-112.1583,AZ,117
44.6,Natural Gas,33.4417,-112.1583,AZ,117
184.5,Natural Gas,33.4417,-112.1583,AZ,117
184.5,Natural Gas,33.4417,-112.1583,AZ,117
200.6,Natural Gas,33.4417,-112.1583,AZ,117
53.1,Natural Gas,33.4417,-112.1583,AZ,117
53.1,Natural Gas,33.4417,-112.1583,AZ,117
78.3,Natural Gas,32.5517,-111.3,AZ,118
53.1,Natural Gas,32.5517,-111.3,AZ,118
53.1,Natural Gas,32.5517,-111.3,AZ,118
23.6,Natural Gas,32.7214,-114.7106,AZ,120
23.6,Natural Gas,32.7214,-114.7106,AZ,120
25.3,Other,32.7214,-114.7106,AZ,120
72.4,Natural Gas,32.7214,-114.7106,AZ,120
72.4,Other,32.7214,-114.7106,AZ,120
60.5,Natural Gas,32.7214,-114.7106,AZ,120
60.5,Natural Gas,32.7214,-114.7106,AZ,120
86.7,Natural Gas,32.7214,-114.7106,AZ,120
85,Natural Gas,32.252273,-110.992148,AZ,124
173.3,Natural Gas,32.16,-110.9047,AZ,126
27,Natural Gas,32.16,-110.9047,AZ,126
27,Natural Gas,32.16,-110.9047,AZ,126
108.8,Natural Gas,32.16,-110.9047,AZ,126
108.8,Natural Gas,32.16,-110.9047,AZ,126
113.6,Natural Gas,32.16,-110.9047,AZ,126
720,Coal,34.0825,-99.1753,TX,127
590.9,Coal,33.371506,-80.113235,SC,130
556.2,Coal,33.371506,-80.113235,SC,130
591,Coal,33.371506,-80.113235,SC,130
652,Coal,33.371506,-80.113235,SC,130
735.9,Coal,29.733056,-81.632778,FL,136
735.9,Coal,29.733056,-81.632778,FL,136
113.6,Natural Gas,33.5561,-112.2153,AZ,141
113.6,Natural Gas,33.5561,-112.2153,AZ,141
163.2,Natural Gas,33.5561,-112.2153,AZ,141
80.5,Natural Gas,33.5561,-112.2153,AZ,141
71.2,Natural Gas,33.5561,-112.2153,AZ,141
71.2,Natural Gas,33.5561,-112.2153,AZ,141
0.2,Solar,33.5561,-112.2153,AZ,141
3,Hydroelectric,33.439375,-111.946052,AZ,143
9.9,Hydroelectric,33.5907,-111.344,AZ,145
9.9,Hydroelectric,33.5907,-111.344,AZ,145
9.9,Hydroelectric,33.5907,-111.344,AZ,145
99.8,Hydroelectric,33.5907,-111.344,AZ,145
34.5,Natural Gas,33.3556,-111.9353,AZ,147
73.5,Natural Gas,33.3556,-111.9353,AZ,147
53.1,Natural Gas,33.3556,-111.9353,AZ,147
60.3,Natural Gas,33.3556,-111.9353,AZ,147
60.3,Natural Gas,33.3556,-111.9353,AZ,147
170,Natural Gas,33.3556,-111.9353,AZ,147
122,Natural Gas,33.3556,-111.9353,AZ,147
9.2,Hydroelectric,33.5536,-111.4431,AZ,148
54.3,Hydroelectric,33.5536,-111.4431,AZ,148
36,Hydroelectric,33.671104,-111.161786,AZ,149
13,Hydroelectric,33.5661,-111.536,AZ,150
71.2,Other,37.62936,-120.93139,CA,151
71.2,Natural Gas,37.62936,-120.93139,CA,151
51.7,Hydroelectric,35.197044,-114.570669,AZ,152
51.7,Hydroelectric,35.197044,-114.570669,AZ,152
48,Hydroelectric,35.197044,-114.570669,AZ,152
51.7,Hydroelectric,35.197044,-114.570669,AZ,152
51.7,Hydroelectric,35.197044,-114.570669,AZ,152
165,Hydroelectric,36.936614,-111.483872,AZ,153
165,Hydroelectric,36.936614,-111.483872,AZ,153
165,Hydroelectric,36.936614,-111.483872,AZ,153
165,Hydroelectric,36.936614,-111.483872,AZ,153
165,Hydroelectric,36.936614,-111.483872,AZ,153
165,Hydroelectric,36.936614,-111.483872,AZ,153
157,Hydroelectric,36.936614,-111.483872,AZ,153
165,Hydroelectric,36.936614,-111.483872,AZ,153
2.4,Hydroelectric,36.01551,-114.738006,NV,154
130,Hydroelectric,36.01551,-114.738006,NV,154
130,Hydroelectric,36.01551,-114.738006,NV,154
130,Hydroelectric,36.01551,-114.738006,NV,154
130,Hydroelectric,36.01551,-114.738006,NV,154
130,Hydroelectric,36.01551,-114.738006,NV,154
130,Hydroelectric,36.01551,-114.738006,NV,154
127,Hydroelectric,36.01551,-114.738006,NV,154
130,Hydroelectric,36.01551,-114.738006,NV,154
1.5,Hydroelectric,40.493631,-111.312506,UT,159
11.5,Natural Gas,32.0603,-109.8931,AZ,160
20.4,Natural Gas,32.0603,-109.8931,AZ,160
78.7,Natural Gas,32.0603,-109.8931,AZ,160
60.5,Natural Gas,32.0603,-109.8931,AZ,160
81.6,Natural Gas,32.0603,-109.8931,AZ,160
204,Natural Gas,32.0603,-109.8931,AZ,160
204,Coal,32.0603,-109.8931,AZ,160
1.1,Hydroelectric,37.611461,-120.594678,CA,161
1.1,Hydroelectric,37.611461,-120.594678,CA,161
1.1,Hydroelectric,37.611461,-120.594678,CA,161
0.5,Hydroelectric,37.621536,-120.746247,CA,162
0.5,Hydroelectric,37.621536,-120.746247,CA,162
540,Natural Gas,36.190278,-95.2894,OK,165
594,Coal,36.190278,-95.2894,OK,165
369,Natural Gas,36.190278,-95.2894,OK,165
231.3,Natural Gas,36.190278,-95.2894,OK,165
28,Hydroelectric,34.4425,-93.0262,AR,166
28,Hydroelectric,34.4425,-93.0262,AR,166
552.5,Natural Gas,34.4341,-92.9049,AR,170
1.6,Other,35.6893,-89.994,AR,172
1.6,Other,35.6893,-89.994,AR,172
1.6,Other,35.6893,-89.994,AR,172
3,Hydroelectric,34.4272,-92.8941,AR,174
3,Hydroelectric,34.4272,-92.8941,AR,174
3,Hydroelectric,34.4272,-92.8941,AR,174
1,Hydroelectric,40.45193,-121.86215,CA,180
56,Hydroelectric,36.421507,-93.847373,AR,182
56,Hydroelectric,36.421507,-93.847373,AR,182
40,Hydroelectric,34.211913,-93.110963,AR,187
28,Hydroelectric,34.211913,-93.110963,AR,187
48,Hydroelectric,35.5207,-91.9953,AR,188
48,Hydroelectric,35.5207,-91.9953,AR,188
2,Other,36.3858,-90.1867,AR,193
0.6,Other,36.3858,-90.1867,AR,193
2.2,Other,36.3858,-90.1867,AR,193
1.3,Other,36.3858,-90.1867,AR,193
1.1,Other,36.3858,-90.1867,AR,193
8.5,Hydroelectric,34.148427,-93.715168,AR,195
8.5,Hydroelectric,34.148427,-93.715168,AR,195
8.5,Hydroelectric,34.148427,-93.715168,AR,195
40.2,Hydroelectric,36.2491,-92.2401,AR,196
40.2,Hydroelectric,36.2491,-92.2401,AR,196
37.5,Hydroelectric,34.570984,-93.194425,AR,197
37.5,Hydroelectric,34.570984,-93.194425,AR,197
40,Hydroelectric,36.3635,-92.5763,AR,198
40,Hydroelectric,36.3635,-92.5763,AR,198
40,Hydroelectric,36.3635,-92.5763,AR,198
40,Hydroelectric,36.3635,-92.5763,AR,198
45,Hydroelectric,36.3635,-92.5763,AR,198
45,Hydroelectric,36.3635,-92.5763,AR,198
45,Hydroelectric,36.3635,-92.5763,AR,198
45,Hydroelectric,36.3635,-92.5763,AR,198
40.2,Hydroelectric,35.2503,-93.1686,AR,199
40.2,Hydroelectric,35.2503,-93.1686,AR,199
40.2,Hydroelectric,35.2503,-93.1686,AR,199
40.2,Hydroelectric,35.2503,-93.1686,AR,199
59,Natural Gas,35.462382,-93.804926,AR,201
126,Natural Gas,35.462382,-93.804926,AR,201
120,Natural Gas,35.260102,-91.363426,AR,202
136,Natural Gas,33.5648,-92.7917,AR,203
