Nameplate,Technology,Latitude,Longitude,PLNTCODE,State
76.5,Natural Gas,61.1861,-151.0356,96,AK
62,Natural Gas,61.1861,-151.0356,96,AK
84.6,Natural Gas,48.4553,-122.435,99,WA
84.6,Natural Gas,48.4553,-122.435,99,WA
1.4,Hydroelectric,33.466477,-111.781064,100,AZ
199.8,Hydroelectric,37.147926,-119.2567,104,CA
348.7,Coal,37.9308,-100.9725,108,KS
0.3,Other,59.6708,-157.89,109,AK
0.5,Other,59.6708,-157.89,109,AK
0.7,Other,59.6708,-157.89,109,AK
1,Other,59.6708,-157.89,109,AK
0.8,Other,59.6708,-157.89,109,AK
1.1,Other,59.6708,-157.89,109,AK
1,Other,59.6708,-157.89,109,AK
0.8,Other,59.6708,-157.89,109,AK
1.8,Hydroelectric,34.3480541,-111.6974256,112,AZ
1.8,Hydroelectric,34.3480541,-111.6974256,112,AZ
1.8,Hydroelectric,34.3480541,-111.6974256,112,AZ
113.6,Coal,34.9394,-110.3033,113,AZ
288.9,Coal,34.9394,-110.3033,113,AZ
312.3,Coal,34.9394,-110.3033,113,AZ
414,Coal,34.9394,-110.3033,113,AZ
21.4,Other,31.364122,-109.5538,114,AZ
1.6,Hydroelectric,34.4029,-111.617341,115,AZ
113.6,Natural Gas,33.4225,-111.9122,116,AZ
113.6,Natural Gas,33.4225,-111.9122,116,AZ
53.1,Natural Gas,33.4225,-111.9122,116,AZ
53.1,Natural Gas,33.4225,-111.9122,116,AZ
0.1,Solar,33.4225,-111.9122,116,AZ
0.1,Solar,33.4225,-111.9122,116,AZ
0.4,Solar,33.4225,-111.9122,116,AZ
34.5,Natural Gas,33.4417,-112.1583,117,AZ
16,Natural Gas,33.4417,-112.1583,117,AZ
69,Natural Gas,33.4417,-112.1583,117,AZ
132,Natural Gas,33.4417,-112.1583,117,AZ
132,Natural Gas,33.4417,-112.1583,117,AZ
132,Natural Gas,33.4417,-112.1583,117,AZ
91,Natural Gas,33.4417,-112.1583,117,AZ
44.6,Natural Gas,33.4417,-112.1583,117,AZ
184,Natural Gas,33.4417,-112.1583,117,AZ
184,Natural Gas,33.4417,-112.1583,117,AZ
201,Natural Gas,33.4417,-112.1583,117,AZ
53.1,Natural Gas,33.4417,-112.1583,117,AZ
53.1,Natural Gas,33.4417,-112.1583,117,AZ
125,Natural Gas,32.5517,-111.3,118,AZ
125,Natural Gas,32.5517,-111.3,118,AZ
78.3,Natural Gas,32.5517,-111.3,118,AZ
53.1,Natural Gas,32.5517,-111.3,118,AZ
53.1,Natural Gas,32.5517,-111.3,118,AZ
19.6,Natural Gas,32.7214,-114.7106,120,AZ
19.6,Natural Gas,32.7214,-114.7106,120,AZ
26,Other,32.7214,-114.7106,120,AZ
56.3,Natural Gas,32.7214,-114.7106,120,AZ
56.3,Other,32.7214,-114.7106,120,AZ
86.7,Natural Gas,32.7214,-114.7106,120,AZ
85,Natural Gas,32.252273,-110.992148,124,AZ
173.3,Coal,32.16,-110.9047,126,AZ
27,Natural Gas,32.16,-110.9047,126,AZ
27,Natural Gas,32.16,-110.9047,126,AZ
108.8,Natural Gas,32.16,-110.9047,126,AZ
108.8,Natural Gas,32.16,-110.9047,126,AZ
113.6,Natural Gas,32.16,-110.9047,126,AZ
720,Coal,34.0825,-99.1753,127,TX
590.9,Coal,33.3692,-80.1119,130,SC
556.2,Coal,33.3692,-80.1119,130,SC
714.6,Coal,29.733056,-81.632778,136,FL
714.6,Coal,29.733056,-81.632778,136,FL
113.6,Natural Gas,33.5561,-112.2153,141,AZ
113.6,Natural Gas,33.5561,-112.2153,141,AZ
163.2,Natural Gas,33.5561,-112.2153,141,AZ
80.5,Natural Gas,33.5561,-112.2153,141,AZ
71.2,Natural Gas,33.5561,-112.2153,141,AZ
71.2,Natural Gas,33.5561,-112.2153,141,AZ
0.2,Solar,33.5561,-112.2153,141,AZ
7.5,Natural Gas,33.439375,-111.946052,143,AZ
7.5,Natural Gas,33.439375,-111.946052,143,AZ
7.5,Natural Gas,33.439375,-111.946052,143,AZ
7.5,Natural Gas,33.439375,-111.946052,143,AZ
3,Hydroelectric,33.439375,-111.946052,143,AZ
9.9,Hydroelectric,33.5907,-111.344,145,AZ
9.9,Hydroelectric,33.5907,-111.344,145,AZ
9.9,Hydroelectric,33.5907,-111.344,145,AZ
99.8,Hydroelectric,33.5907,-111.344,145,AZ
34.5,Natural Gas,33.3556,-111.9353,147,AZ
73.5,Natural Gas,33.3556,-111.9353,147,AZ
53.1,Natural Gas,33.3556,-111.9353,147,AZ
60.3,Natural Gas,33.3556,-111.9353,147,AZ
60.3,Natural Gas,33.3556,-111.9353,147,AZ
170,Natural Gas,33.3556,-111.9353,147,AZ
122,Natural Gas,33.3556,-111.9353,147,AZ
9.2,Hydroelectric,33.5536,-111.4431,148,AZ
54.3,Hydroelectric,33.5536,-111.4431,148,AZ
36,Hydroelectric,33.671104,-111.161786,149,AZ
13,Hydroelectric,33.5661,-111.536,150,AZ
71.2,Other,37.62936,-120.93139,151,CA
71.2,Other,37.62936,-120.93139,151,CA
51.7,Hydroelectric,35.197044,-114.570669,152,AZ
51.7,Hydroelectric,35.197044,-114.570669,152,AZ
48,Hydroelectric,35.197044,-114.570669,152,AZ
51.7,Hydroelectric,35.197044,-114.570669,152,AZ
51.7,Hydroelectric,35.197044,-114.570669,152,AZ
165,Hydroelectric,36.936614,-111.483872,153,AZ
157,Hydroelectric,36.936614,-111.483872,153,AZ
165,Hydroelectric,36.936614,-111.483872,153,AZ
157,Hydroelectric,36.936614,-111.483872,153,AZ
165,Hydroelectric,36.936614,-111.483872,153,AZ
165,Hydroelectric,36.936614,-111.483872,153,AZ
157,Hydroelectric,36.936614,-111.483872,153,AZ
165,Hydroelectric,36.936614,-111.483872,153,AZ
2.4,Hydroelectric,36.01551,-114.738006,154,NV
130,Hydroelectric,36.01551,-114.738006,154,NV
130,Hydroelectric,36.01551,-114.738006,154,NV
130,Hydroelectric,36.01551,-114.738006,154,NV
130,Hydroelectric,36.01551,-114.738006,154,NV
130,Hydroelectric,36.01551,-114.738006,154,NV
130,Hydroelectric,36.01551,-114.738006,154,NV
127,Hydroelectric,36.01551,-114.738006,154,NV
130,Hydroelectric,36.01551,-114.738006,154,NV
5,Hydroelectric,33.1747831,-110.5278775,155,AZ
5,Hydroelectric,33.1747831,-110.5278775,155,AZ
1.5,Hydroelectric,40.493631,-111.312506,159,UT
11.5,Natural Gas,32.0603,-109.8931,160,AZ
20.4,Natural Gas,32.0603,-109.8931,160,AZ
78.7,Natural Gas,32.0603,-109.8931,160,AZ
60.5,Natural Gas,32.0603,-109.8931,160,AZ
81.6,Natural Gas,32.0603,-109.8931,160,AZ
204,Coal,32.0603,-109.8931,160,AZ
204,Coal,32.0603,-109.8931,160,AZ
1.1,Hydroelectric,37.611461,-120.594678,161,CA
